state,hours
CA,40
CA,45
CA,40
CA,40
CA,40
CA,30
CA,35
CA,15
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,30
CA,32
CA,40
CA,10
CA,40
CA,20
CA,40
CA,45
CA,32
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,30
CA,40
CA,40
CA,40
CA,40
CA,13
CA,40
CA,32
CA,50
CA,10
CA,30
CA,30
CA,10
CA,24
CA,40
CA,40
CA,40
CA,60
CA,30
CA,44
CA,40
CA,40
CA,40
CA,40
CA,40
CA,35
CA,6
CA,4
CA,40
CA,40
CA,40
CA,40
CA,40
CA,38
CA,4
CA,40
CA,42
CA,8
CA,40
CA,40
CA,40
CA,30
CA,4
CA,50
CA,16
CA,40
CA,40
CA,40
CA,30
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,36
CA,40
CA,32
CA,40
CA,60
CA,40
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,35
CA,40
CA,36
CA,40
CA,20
CA,40
CA,20
CA,40
CA,40
CA,40
CA,55
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,55
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,50
CA,40
CA,40
CA,18
CA,40
CA,60
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,30
CA,35
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,36
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,15
CA,30
CA,40
CA,40
CA,30
CA,45
CA,40
CA,30
CA,25
CA,40
CA,40
CA,40
CA,40
CA,40
CA,70
CA,70
CA,40
CA,40
CA,40
CA,40
CA,35
CA,40
CA,40
CA,40
CA,50
CA,40
CA,16
CA,40
CA,7
CA,36
CA,60
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,50
CA,50
CA,40
CA,40
CA,40
CA,40
CA,30
CA,20
CA,50
CA,40
CA,25
CA,35
CA,40
CA,40
CA,40
CA,45
CA,10
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,55
CA,40
CA,40
CA,40
CA,40
CA,32
CA,20
CA,50
CA,25
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,40
CA,45
CA,40
CA,40
CA,40
CA,40
CA,14
CA,45
CA,40
CA,40
CA,50
CA,40
CA,30
CA,4
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,50
CA,50
CA,40
CA,40
CA,24
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,70
CA,45
CA,50
CA,52
CA,40
CA,40
CA,40
CA,40
CA,24
CA,40
CA,40
CA,32
CA,40
CA,16
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
FL,12
FL,40
FL,8
FL,20
FL,35
FL,20
FL,40
FL,40
FL,40
FL,40
FL,36
FL,40
FL,40
FL,60
FL,6
FL,36
FL,40
FL,30
FL,50
FL,20
FL,38
FL,40
FL,40
FL,40
FL,40
FL,32
FL,40
FL,40
FL,40
FL,40
FL,45
FL,40
FL,42
FL,36
FL,80
FL,40
FL,50
FL,50
FL,25
FL,30
FL,10
FL,40
FL,40
FL,40
FL,40
FL,36
FL,36
FL,40
FL,50
FL,20
FL,40
FL,40
FL,40
FL,40
FL,40
FL,35
FL,40
FL,45
FL,40
FL,40
FL,40
FL,60
FL,80
FL,40
FL,12
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,48
FL,40
FL,20
FL,60
FL,36
FL,40
FL,40
FL,40
FL,40
FL,50
FL,40
FL,50
FL,30
FL,40
FL,40
FL,40
FL,32
FL,40
FL,40
FL,20
FL,40
FL,40
FL,40
FL,30
FL,35
FL,50
FL,20
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,30
FL,40
FL,36
FL,40
FL,40
FL,40
FL,55
FL,20
FL,40
FL,40
FL,47
FL,40
FL,40
FL,60
FL,40
FL,25
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,25
FL,60
FL,1
FL,5
FL,50
FL,50
FL,50
FL,48
FL,40
FL,40
FL,60
FL,40
FL,40
FL,40
FL,37
FL,28
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,25
FL,45
FL,70
FL,40
FL,60
FL,25
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,35
FL,20
FL,40
FL,40
FL,60
FL,40
FL,70
FL,36
FL,50
FL,25
FL,60
FL,40
FL,35
FL,20
FL,60
FL,40
FL,55
FL,60
FL,40
FL,40
FL,45
FL,4
FL,40
FL,48
FL,40
FL,40
FL,55
FL,40
FL,40
FL,40
FL,40
FL,40
FL,50
FL,40
FL,50
FL,40
FL,40
FL,40
FL,50
FL,40
FL,40
FL,40
FL,25
FL,40
FL,70
FL,40
HI,80
HI,60
HI,40
HI,32
HI,60
HI,34
HI,40
HI,40
HI,40
HI,40
HI,45
HI,30
HI,54
HI,40
HI,50
HI,40
HI,35
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,30
HI,40
HI,40
HI,40
HI,40
HI,13
HI,40
HI,40
HI,50
HI,30
HI,20
HI,40
HI,2
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,12
HI,40
HI,20
HI,40
HI,60
HI,40
HI,40
HI,40
HI,35
HI,40
HI,35
NV,40
NV,40
NV,10
NV,40
NV,40
NV,40
NV,40
NV,20
NV,5
NV,40
NV,50
NV,23
NV,40
NV,24
NV,42
NV,42
NV,40
NV,40
NV,40
NV,40
NV,35
NV,40
NV,40
NV,28
NV,35
NV,70
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,60
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,35
NV,40
NV,40
NV,50
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,32
AK,40
AK,40
AK,40
AK,40
AK,40
AK,32
AK,10
AK,10
AK,40
AK,40
AK,3
AK,40
AK,30
AK,55
AK,40
AK,45
AK,40
AK,45
AK,40
AK,50
AK,40
AK,18
AK,40
AK,40
AK,40
AK,40
AK,40
AK,40
AK,40
AK,20
AK,42
AK,40
AK,48
AK,50
AK,36
AK,40
AK,40
AK,5
AK,40
AK,40
AK,60
AK,40
AK,40
AK,60
CA,20
CA,40
CA,20
CA,50
CA,20
CA,40
CA,16
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,55
CA,45
CA,20
CA,40
CA,40
CA,40
CA,30
CA,40
CA,40
CA,20
CA,32
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,48
CA,24
CA,40
CA,45
CA,40
CA,30
CA,40
CA,40
CA,9
CA,40
CA,40
CA,25
CA,40
CA,40
CA,32
CA,50
CA,40
CA,40
CA,40
CA,10
CA,40
CA,40
CA,65
CA,40
CA,40
CA,40
CA,40
CA,65
CA,65
CA,40
CA,40
CA,40
CA,30
CA,40
CA,50
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,16
CA,40
CA,40
CA,40
CA,40
CA,37
CA,35
CA,40
CA,35
CA,36
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,48
CA,15
CA,30
CA,38
CA,30
CA,40
CA,40
CA,45
CA,40
CA,40
CA,40
CA,8
CA,40
CA,40
CA,36
CA,40
CA,56
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,22
CA,40
CA,50
CA,60
CA,50
CA,5
CA,40
CA,40
CA,45
CA,45
CA,48
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,36
CA,40
CA,10
CA,15
CA,16
CA,40
CA,40
CA,40
CA,40
CA,40
CA,36
CA,21
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,15
CA,40
CA,40
CA,26
CA,50
CA,36
CA,24
CA,45
CA,10
CA,30
CA,40
CA,52
CA,40
CA,40
CA,2
CA,40
CA,40
CA,40
CA,20
CA,60
CA,30
CA,30
CA,40
CA,40
CA,36
CA,40
CA,35
CA,40
CA,40
CA,45
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
CA,17
CA,40
CA,40
CA,80
CA,40
CA,40
CA,40
CA,36
CA,40
CA,40
CA,8
CA,40
CA,60
CA,15
CA,30
CA,10
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,60
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,10
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,40
CA,50
CA,50
CA,40
CA,38
CA,35
CA,60
CA,40
CA,50
CA,20
CA,40
CA,48
CA,2
CA,40
CA,30
CA,22
CA,40
CA,40
CA,15
CA,50
CA,40
CA,50
CA,40
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,45
CA,46
CA,40
CA,50
CA,1
CA,45
CA,40
CA,40
CA,40
CA,50
CA,40
CA,30
CA,40
CA,40
CA,45
CA,40
CA,25
CA,40
CA,40
CA,36
CA,36
CA,50
CA,23
CA,40
CA,40
CA,10
CA,40
CA,40
CA,50
CA,40
CA,38
CA,40
CA,40
CA,40
CA,15
CA,16
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,16
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,56
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,70
CA,45
CA,40
CA,40
CA,50
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,32
CA,16
CA,40
CA,40
CA,40
CA,24
CA,40
CA,40
CA,40
CA,40
CA,40
CA,20
CA,45
CA,40
CA,40
CA,40
CA,40
CA,30
CA,46
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,36
CA,40
CA,50
CA,30
CA,40
FL,28
FL,40
FL,25
FL,40
FL,15
FL,40
FL,40
FL,40
FL,40
FL,40
FL,50
FL,40
FL,40
FL,40
FL,40
FL,40
FL,35
FL,40
FL,40
FL,40
FL,70
FL,40
FL,40
FL,40
FL,35
FL,20
FL,40
FL,50
FL,40
FL,40
FL,25
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,60
FL,40
FL,60
FL,30
FL,70
FL,40
FL,40
FL,20
FL,40
FL,40
FL,40
FL,40
FL,65
FL,40
FL,40
FL,25
FL,40
FL,50
FL,40
FL,40
FL,50
FL,50
FL,40
FL,40
FL,40
FL,15
FL,40
FL,40
FL,40
FL,40
FL,32
FL,30
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,30
FL,40
FL,22
